Sample	ACCESSION	TAXID	SCIENTIFIC_NAME	COUNTRY	CLOSEST_CITY	CLOSEST_LOCALITY	ESTIMATED_AGE	LONGITUDE	BREED	LATITUDE	GENDER	SAMPLING_DATE	wc2.0_bio_30s_12	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
UGBT-B10-0235	ERS420433	30523	Bos taurus x Bos indicus	Uganda	KABALE	RUBAYA	24	29.982990	Nkiga	-1.419580	male	2011	1057	17.195833	11.341666	90.013227	28.481111	23.400000	10.800000	12.599999	17.216667	16.883333	17.500000	16.833333	166.000000	11.000000	49.921303	397.000000	77.000000	285.000000	146.000000
UGBT-B9-0245	ERS420469	30523	Bos taurus x Bos indicus	Uganda	RUKUNGIRI	NYARUSHANZE	48	30.008190	Ankole	-0.916760	male	2011	942	20.104167	11.858333	90.521630	28.401212	26.799999	13.700000	13.099999	19.950000	19.933333	20.450000	19.816667	140.000000	27.000000	42.657849	343.000000	110.000000	267.000000	342.000000
UGBT-C10-0212	ERS420485	30523	Bos taurus x Bos indicus	Uganda	KABALE	KAMWEZI	24	30.226580	Nkiga	-1.221720	male	2011	917	20.000000	10.916667	85.286460	38.671104	26.100000	13.300000	12.800000	19.866667	19.950000	20.383334	19.566667	152.000000	11.000000	53.140186	342.000000	60.000000	201.000000	269.000000
UGBT-C6-0730	ERS420500	30523	Bos taurus x Bos indicus	Uganda	NTOROKO	KARUGUTU	48	30.234590	East African Shorthorn Zebu	0.861870	male	2012	1243	23.225000	9.650000	83.189649	67.470545	29.100000	17.500000	11.600000	22.716667	23.750000	24.166667	22.516667	159.000000	44.000000	33.493340	394.000000	173.000000	221.000000	351.000000
UGBT-C6-0731	ERS420501	30523	Bos taurus x Bos indicus	Uganda	NTOROKO	KARUGUTU	60	30.234590	East African Shorthorn Zebu	0.861870	male	2012	1243	23.225000	9.650000	83.189649	67.470545	29.100000	17.500000	11.600000	22.716667	23.750000	24.166667	22.516667	159.000000	44.000000	33.493340	394.000000	173.000000	221.000000	351.000000
UGBT-C6-0732	ERS420502	30523	Bos taurus x Bos indicus	Uganda	NTOROKO	KARUGUTU	72	30.234590	East African Shorthorn Zebu	0.861870	male	2012	1243	23.225000	9.650000	83.189649	67.470545	29.100000	17.500000	11.600000	22.716667	23.750000	24.166667	22.516667	159.000000	44.000000	33.493340	394.000000	173.000000	221.000000	351.000000
UGBT-C9-0005	ERS420553	30523	Bos taurus x Bos indicus	Uganda			-99999	30.515217	Ankole	-0.527000	male	2011	992	20.345833	12.208333	88.466176	30.929431	27.200001	13.400000	13.800001	20.383333	20.083333	20.700000	19.950000	136.000000	27.000000	43.116332	358.000000	128.000000	217.000000	135.000000
UGBT-C9-0147	ERS420560	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	-99999	30.627490	Ankole	-0.526900	female	2011	968	20.537500	12.341667	86.913142	25.416992	27.700001	13.500000	14.200001	20.433333	20.366667	20.916667	20.333333	139.000000	26.000000	44.943138	345.000000	120.000000	209.000000	131.000000
UGBT-D6-0701	ERS239066	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KITOBA	36	31.301290	Ankole	0.973910	male	2012	1248	22.137500	9.775000	82.838976	71.704109	28.100000	16.299999	11.800001	21.766666	22.866667	23.200000	21.366666	165.000000	39.000000	41.086060	435.000000	149.000000	197.000000	345.000000
UGBT-D6-0706	ERS420631	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KITOBA	72	31.231010	Small East African Zebu	1.003490	male	2012	1228	22.379167	10.175000	83.401636	72.093971	28.500000	16.299999	12.200001	22.016666	23.066667	23.433333	21.566666	163.000000	38.000000	40.790134	422.000000	145.000000	192.000000	340.000000
