Sample,ACCESSION,TAXID,SCIENTIFIC_NAME,COUNTRY,CLOSEST_CITY,CLOSEST_LOCALITY,ESTIMATED_AGE,LONGITUDE,BREED,LATITUDE,GENDER,SAMPLING_DATE
UGBT-B10-0235,ERS420433,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,24 months,29.98299,Nkiga,-1.41958,male,2011-06-28
UGBT-B9-0245,ERS420469,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,48 months,30.00819,Ankole,-0.91676,male,2011-06-29
UGBT-C10-0212,ERS420485,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,24 months,30.22658,Nkiga,-1.22172,male,2011-06-27
UGBT-C6-0730,ERS420500,30523,Bos taurus x Bos indicus,Uganda,NTOROKO,KARUGUTU,48 months,30.23459,East African Shorthorn Zebu,0.86187,male,2012-01-04
UGBT-C6-0731,ERS420501,30523,Bos taurus x Bos indicus,Uganda,NTOROKO,KARUGUTU,60 months,30.23459,East African Shorthorn Zebu,0.86187,male,2012-01-04
UGBT-C6-0732,ERS420502,30523,Bos taurus x Bos indicus,Uganda,NTOROKO,KARUGUTU,72 months,30.23459,East African Shorthorn Zebu,0.86187,male,2012-01-04
UGBT-C9-0005,ERS420553,30523,Bos taurus x Bos indicus,Uganda,,,,30.515217,Ankole,-0.527,male,2011-03-10
UGBT-C9-0147,ERS420560,30523,Bos taurus x Bos indicus,Uganda,MBARARA,Mbarara,,30.62749,Ankole,-0.5269,female,2011-06-07
UGBT-D6-0701,ERS239066,30523,Bos taurus x Bos indicus,Uganda,HOIMA,KITOBA,36 months,31.30129,Ankole,0.97391,male,2012-01-04
UGBT-D6-0706,ERS420631,30523,Bos taurus x Bos indicus,Uganda,HOIMA,KITOBA,72 months,31.23101,Small East African Zebu,1.00349,male,2012-01-04
UGBT-E3-0350,ERS420727,30523,Bos taurus x Bos indicus,Uganda,ADJUMANI,ITIRIKWA,96 months,31.73258,Shorthorn Zebu,3.14143,male,2011-07-12
UGBT-E3-0353,ERS420730,30523,Bos taurus x Bos indicus,Uganda,ADJUMANI,ITIRIKWA,36 months,31.73258,Shorthorn Zebu,3.14143,male,2011-07-12
